ra,ano,fase_original,fase,fase_ideal_original,fase_ideal,idade,flag_idade_formato_excel,ano_nascimento,genero,ano_ingresso,tipo_instituicao,ian,ida,ieg,iaa,ips,ipp,ipv,flag_ipp_ausencia_estrutural,nota_matematica,nota_portugues,nota_ingles,quantidade_avaliacoes,avaliadores_preenchidos,defasagem,defasagem_calculada,classe_defasagem,inde_original,inde,motivo_inde_ausente,pedra_original,pedra,flag_defasagem_inconsistente,flag_iaa_zero,flag_ieg_zero,flag_ieg_zero_ida_ausente,flag_ingles_ausente_fase_0_2,flag_quantidade_avaliacoes_divergente,flag_conflito_ano_nascimento,flag_conflito_ano_ingresso,flag_conflito_genero,flag_ian_fora_escala,flag_ida_fora_escala,flag_ieg_fora_escala,flag_iaa_fora_escala,flag_ips_fora_escala,flag_ipp_fora_escala,flag_ipv_fora_escala
RA-1168,2024,3N,3,Fase 4 (9° ano),4,14.0,False,2010,Feminino,2023,Pública,5.0,5.666666666666667,7.682352941333334,9.585,7.51,7.1875,6.33,False,8.5,3.5,5.0,2.0,2,-1,-1,Moderada,6.864053921600001,6.864053921600001,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1169,2023,FASE 3,3,Fase 4 (9° ano),4,14.0,True,2009,Feminino,2023,Pública,5.0,6.3,9.5,7.5,5.0,7.03125,8.0025,False,6.8,7.3,4.8,4.0,4,-1,-1,Moderada,7.213625,7.213625,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1169,2024,4N,4,Fase 5 (1° EM),5,15.0,False,2009,Feminino,2023,Pública,5.0,6.833333333333333,8.444444444333334,6.25,5.635,7.8125,6.8,False,6.0,6.5,8.0,5.0,5,-1,-1,Moderada,6.885305555533334,6.885305555533334,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-117,2022,4,4,Fase 5 (1º EM),5,15.0,False,2007,Feminino,2022,Escola Pública,5.0,6.1,6.3,7.9,6.9,,7.417,True,4.7,6.7,7.0,4.0,4,-1,-1,Moderada,6.685,6.685,nao_ausente,Ágata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1170,2023,FASE 3,3,Fase 4 (9° ano),4,14.0,True,2009,Masculino,2023,Pública,5.0,5.9,7.7,8.8,7.52,7.1875,6.5775,False,6.0,6.8,4.8,4.0,4,-1,-1,Moderada,6.874683333,6.874683333,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1170,2024,3P,3,Fase 5 (1° EM),5,15.0,False,2009,Masculino,2023,Pública,5.0,3.5,5.565079365,9.168,8.13,7.03125,6.7475,False,1.0,2.5,7.0,4.0,4,-2,-2,Moderada,6.095440873,6.095440873,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1171,2023,FASE 3,3,Fase 4 (9° ano),4,14.0,False,2009,Masculino,2023,Pública,5.0,8.7,8.4,7.9,5.0,8.75,8.88,False,7.3,9.0,9.7,4.0,4,-1,-1,Moderada,7.856033333,7.856033333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1171,2024,4R,4,Fase 5 (1° EM),5,15.0,False,2009,Masculino,2023,Pública,5.0,7.5,7.230158729999999,8.334,7.51,8.645833333,8.643333333,False,5.0,9.5,8.0,6.0,6,-1,-1,Moderada,7.6236817459,7.6236817459,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1172,2023,FASE 4,4,Fase 6 (2° EM),6,16.0,False,2007,Feminino,2023,Pública,5.0,6.7,7.8,8.3,2.52,8.59375,8.46,False,6.0,5.7,8.3,4.0,4,-2,-2,Moderada,7.030108333,7.030108333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1172,2024,5A,5,Fase 6 (2° EM),6,17.0,False,2007,Feminino,2023,Pública,5.0,3.3333333333333335,6.0634920633333325,7.5,6.26,7.25,6.196,False,0.0,5.0,5.0,5.0,5,-1,-1,Moderada,5.719565079333334,5.719565079333334,nao_ausente,Quartzo,Quartzo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1173,2023,FASE 4,4,Fase 4 (9° ano),4,14.0,False,2009,Masculino,2023,Pública,10.0,6.0,9.7,8.8,2.52,7.8125,8.1225,False,7.0,5.0,6.0,4.0,4,0,0,Em fase,7.67285,7.67285,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1173,2024,5D,5,Fase 5 (1° EM),5,15.0,False,2009,Masculino,2023,Pública,10.0,5.833333333333333,9.665831245,9.168,7.51,8.125,8.2,False,6.0,7.5,4.0,5.0,5,0,0,Em fase,8.220132915666667,8.220132915666667,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1174,2023,FASE 4,4,Fase 5 (1° EM),5,15.0,False,2008,Feminino,2023,Pública,5.0,6.8,8.7,9.2,2.52,8.90625,8.3375,False,6.5,7.2,6.8,4.0,4,-1,-1,Moderada,7.333591667,7.333591667,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1174,2024,5B,5,Fase 5 (1° EM),5,16.0,False,2008,Feminino,2023,Pública,10.0,5.0,8.349567099333333,8.751,6.26,7.5,7.266,False,5.0,3.0,7.0,5.0,5,0,0,Em fase,7.374213419866667,7.374213419866667,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1175,2023,FASE 4,4,Fase 7 (3° EM),7,17.0,True,2006,Feminino,2023,Pública,2.5,6.3,5.3,8.3,2.52,7.65625,7.6275,False,6.3,6.3,6.2,4.0,4,-3,-3,Severa,5.939858333,5.939858333,nao_ausente,Quartzo,Quartzo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1176,2023,FASE 4,4,Fase 3 (7° e 8° ano),3,13.0,False,2010,Masculino,2023,Pública,10.0,8.2,9.3,8.3,7.52,9.6875,9.17,False,8.0,7.8,8.7,4.0,4,1,1,Em fase,8.881483333,8.881483333,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1176,2024,5C,5,Fase 4 (9° ano),4,14.0,False,2010,Masculino,2023,Privada - Programa de Apadrinhamento,10.0,9.166666666666666,9.682539682666667,8.751,6.26,8.59375,8.9225,False,10.0,8.0,9.5,4.0,4,1,1,Em fase,8.914816269866666,8.914816269866666,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1177,2023,FASE 4,4,Fase 4 (9° ano),4,14.0,False,2008,Feminino,2023,Pública,10.0,7.2,9.9,10.0,2.52,8.90625,8.88,False,7.0,6.7,8.0,4.0,4,0,0,Em fase,8.345491667,8.345491667,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1177,2024,5C,5,Fase 5 (1° EM),5,15.0,False,2008,Feminino,2023,Pública,10.0,7.333333333333333,9.824561403666666,8.751,6.26,7.65625,8.125,False,9.5,5.5,7.0,4.0,4,0,0,Em fase,8.3233039474,8.3233039474,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1178,2023,FASE 4,4,Fase 6 (2° EM),6,16.0,True,2007,Masculino,2023,Pública,5.0,5.7,9.3,8.8,2.52,7.96875,8.2125,False,6.3,4.5,6.3,4.0,4,-2,-2,Moderada,7.066475,7.066475,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1178,2024,5D,5,Fase 6 (2° EM),6,17.0,False,2007,Masculino,2023,Pública,5.0,8.333333333333334,9.682539682666667,8.751,6.26,7.5,8.696,False,9.0,8.0,8.0,5.0,5,-1,-1,Moderada,8.0934746032,8.0934746032,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1179,2023,FASE 4,4,Fase 5 (1° EM),5,15.0,True,2008,Masculino,2023,Pública,5.0,5.0,8.1,9.6,4.38,6.875,7.17,False,6.7,3.7,4.5,4.0,4,-1,-1,Moderada,6.631333333,6.631333333,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-118,2022,4,4,Fase 4 (9º ano),4,14.0,False,2008,Feminino,2021,Escola Pública,10.0,3.9,5.3,0.0,6.3,,6.958,True,3.7,4.7,3.5,4.0,4,0,0,Em fase,5.597,5.597,nao_ausente,Quartzo,Quartzo,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1180,2023,FASE 4,4,Fase 5 (1° EM),5,15.0,False,2008,Masculino,2023,Pública,5.0,5.4,9.5,8.3,5.0,7.1875,7.7125,False,6.0,4.8,5.3,4.0,4,-1,-1,Moderada,7.067983333,7.067983333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1181,2023,FASE 4,4,Fase 4 (9° ano),4,14.0,True,2009,Feminino,2023,Pública,10.0,4.8,8.3,8.8,2.52,7.5,7.3375,False,5.7,4.3,4.5,4.0,4,0,0,Em fase,6.971266667,6.971266667,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1181,2024,5B,5,Fase 5 (1° EM),5,15.0,False,2009,Feminino,2023,Pública,10.0,3.8333333333333335,5.036075036,9.168,6.26,7.125,5.862,False,1.0,1.0,9.5,5.0,5,0,0,Em fase,6.2015816738666665,6.2015816738666665,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1182,2023,FASE 4,4,Fase 6 (2° EM),6,16.0,True,2007,Feminino,2023,Pública,5.0,4.2,6.3,7.5,2.52,6.71875,7.2125,False,5.3,2.0,5.2,4.0,4,-2,-2,Moderada,5.709808333,5.709808333,nao_ausente,Quartzo,Quartzo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1183,2023,FASE 4,4,Fase 5 (1° EM),5,15.0,False,2007,Masculino,2023,Pública,5.0,5.3,8.7,7.5,2.52,6.09375,6.7575,False,6.0,4.0,6.0,4.0,4,-1,-1,Moderada,6.269541667,6.269541667,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1184,2023,FASE 4,4,Fase 6 (2° EM),6,16.0,True,2007,Masculino,2023,Pública,5.0,7.3,8.3,8.3,5.0,8.125,8.045,False,8.0,5.5,8.5,4.0,4,-2,-2,Moderada,7.381566667,7.381566667,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1184,2024,5F,5,Fase 6 (2° EM),6,17.0,False,2007,Masculino,2023,Pública,5.0,7.666666666666667,8.658008657666668,6.666,7.51,7.291666667,7.5,False,6.0,7.0,10.0,3.0,3,-1,-1,Moderada,7.411701731566668,7.411701731566668,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1185,2023,FASE 4,4,Fase 3 (7° e 8° ano),3,13.0,True,2010,Feminino,2023,Pública,10.0,7.5,9.1,7.5,5.0,7.8125,8.3775,False,6.7,6.3,9.5,4.0,4,1,1,Em fase,8.02675,8.02675,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1186,2023,FASE 4,4,Fase 6 (2° EM),6,16.0,True,2007,Feminino,2023,Pública,5.0,5.5,9.8,8.8,6.89,6.875,7.3825,False,6.7,5.2,4.5,4.0,4,-2,-2,Moderada,7.281433333,7.281433333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1187,2023,FASE 4,4,Fase 3 (7° e 8° ano),3,13.0,False,2010,Feminino,2023,Pública,10.0,5.3,6.9,8.8,2.52,7.34375,6.715,False,4.7,5.0,6.2,4.0,4,1,1,Em fase,6.644475,6.644475,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1188,2023,FASE 4,4,Fase 5 (1° EM),5,15.0,False,2008,Feminino,2023,Pública,5.0,6.4,9.4,9.6,,7.8125,7.5875,False,6.5,7.5,5.2,4.0,4,-1,-1,Moderada,,,celula_vazia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1188,2024,5G,5,Fase 6 (2° EM),6,16.0,False,2008,Feminino,2023,Pública,5.0,7.0,10.0,9.168,7.51,8.125,7.106666667,False,7.0,6.0,8.0,3.0,3,-1,-1,Moderada,7.801633333400001,7.801633333400001,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1189,2023,FASE 4,4,Fase 5 (1° EM),5,15.0,True,2008,Feminino,2023,Pública,5.0,6.1,9.0,8.8,,7.8125,7.3775,False,6.3,5.7,6.2,4.0,4,-1,-1,Moderada,,,celula_vazia,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1189,2024,5G,5,Fase 6 (2° EM),6,16.0,False,2008,Feminino,2023,Pública,5.0,7.666666666666667,8.672360248333332,9.585,7.51,7.5,7.106666667,False,7.0,7.0,9.0,3.0,3,-1,-1,Moderada,7.6486387164,7.6486387164,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-119,2022,4,4,Fase 4 (9º ano),4,14.0,False,2008,Feminino,2016,Rede Decisão,10.0,5.4,8.2,8.3,5.6,,7.875,True,5.7,7.0,3.4,4.0,4,0,0,Em fase,7.501,7.501,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-119,2023,FASE 7,7,Fase 5 (1° EM),5,15.0,False,2008,Feminino,2016,Privada - Programa de Apadrinhamento,10.0,,,6.7,2.52,,,False,,,,,0,2,2,Em fase,,,celula_vazia,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-119,2024,7E,7,Fase 6 (2° EM),6,16.0,False,2008,Feminino,2021,Privada - Programa de Apadrinhamento,10.0,7.366666666666667,9.983333333,7.083,6.57,7.5,7.5,False,6.05,7.5,8.55,0.0,0,1,1,Em fase,8.085299999933333,8.085299999933333,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-1190,2023,FASE 4,4,Fase 4 (9° ano),4,14.0,True,2009,Masculino,2023,Pública,10.0,4.2,9.2,0.0,5.0,7.34375,7.045,False,3.0,4.2,5.5,4.0,4,0,0,Em fase,6.330041667,6.330041667,nao_ausente,Agata,Ágata,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1191,2023,FASE 4,4,Fase 4 (9° ano),4,14.0,True,2009,Masculino,2023,Pública,10.0,3.7,7.2,7.5,5.0,5.0,6.26,False,2.3,2.5,6.2,4.0,4,0,0,Em fase,6.175333333,6.175333333,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1192,2023,FASE 4,4,Fase 5 (1° EM),5,15.0,False,2007,Feminino,2023,Pública,5.0,5.8,8.7,7.9,2.52,7.96875,7.6675,False,4.7,6.0,6.8,4.0,4,-1,-1,Moderada,6.780741667,6.780741667,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1193,2023,FASE 4,4,Fase 4 (9° ano),4,14.0,True,2009,Feminino,2023,Pública,10.0,4.1,7.8,0.0,5.0,7.1875,7.13,False,3.7,3.5,5.0,4.0,4,0,0,Em fase,6.018083333,6.018083333,nao_ausente,Agata,Ágata,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1193,2024,4L,4,Fase 5 (1° EM),5,15.0,False,2009,Feminino,2023,Pública,5.0,4.0,7.763157895,8.751,5.635,7.8125,7.79,False,3.0,6.0,3.0,4.0,4,-1,-1,Moderada,6.6304815790000005,6.6304815790000005,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1194,2023,FASE 4,4,Fase 3 (7° e 8° ano),3,13.0,False,2010,Masculino,2023,Pública,10.0,6.1,9.0,8.8,5.0,7.5,7.6675,False,6.0,4.2,8.0,4.0,4,1,1,Em fase,7.671933333,7.671933333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1195,2023,FASE 4,4,Fase 7 (3° EM),7,17.0,True,2006,Feminino,2022,Pública,2.5,5.4,8.3,0.0,2.52,8.28125,8.0025,False,4.3,4.7,7.3,4.0,4,-3,-3,Severa,5.677291667,5.677291667,nao_ausente,Quartzo,Quartzo,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1195,2024,5N,5,Fase 7 (3° EM),7,18.0,False,2006,Feminino,2022,Pública,5.0,6.166666666666667,9.855072463666666,9.585,5.63,7.5,7.663333333,False,8.0,5.0,5.5,3.0,3,-2,-2,Moderada,7.5085144926666665,7.5085144926666665,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1196,2023,FASE 5,5,Fase 5 (1° EM),5,15.0,False,2008,Masculino,2023,Privada,10.0,7.5,8.2,0.0,5.0,7.8125,8.045,False,8.0,6.2,8.3,4.0,4,0,0,Em fase,7.03025,7.03025,nao_ausente,Ametista,Ametista,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1197,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,False,2007,Feminino,2023,Pública,5.0,7.3,8.4,6.7,5.0,7.03125,7.215,False,5.3,7.2,9.3,4.0,4,-1,-1,Moderada,6.946058333,6.946058333,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1198,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,True,2007,Feminino,2023,Pública,5.0,6.7,9.4,8.3,6.26,7.5,7.9625,False,7.3,3.7,9.0,4.0,4,-1,-1,Moderada,7.515233333,7.515233333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1198,2024,5A,5,Fase 6 (2° EM),6,17.0,False,2007,Feminino,2023,Pública,5.0,3.5,9.458874459,8.751,7.51,7.375,7.332,False,0.0,1.0,9.5,5.0,5,-1,-1,Moderada,6.9217748918,6.9217748918,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1199,2023,FASE 5,5,Fase 7 (3° EM),7,17.0,True,2006,Masculino,2023,Pública,5.0,6.2,9.1,6.7,5.0,6.875,8.0875,False,6.8,5.0,6.7,4.0,4,-2,-2,Moderada,7.024933333,7.024933333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1199,2024,5D,5,Fase 7 (3° EM),7,18.0,False,2006,Masculino,2023,Concluiu o 3º EM,5.0,9.0,8.571428571333334,7.5,5.005,6.5625,8.466,False,10.0,7.0,10.0,5.0,5,-2,-2,Moderada,7.614235714266666,7.614235714266666,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-12,2022,7,7,Fase 7 (3º EM),7,17.0,False,2005,Feminino,2020,Escola Pública,10.0,1.5,4.0,0.0,6.9,,6.389,True,2.7,1.1,0.7,4.0,4,0,0,Em fase,4.832,4.832,nao_ausente,Quartzo,Quartzo,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-12,2023,FASE 8,8,Fase 8 (Universitários),8,18.0,False,2005,Feminino,2020,Privada *Parcerias com Bolsa 100%,10.0,,,,,,,False,,,,,0,0,0,Em fase,,,celula_vazia,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-12,2024,8E,8,Fase 8 (Universitários),8,19.0,False,2005,Feminino,2021,Privada *Parcerias com Bolsa 100%,10.0,,0.0,,,,,False,,,,0.0,0,0,0,Em fase,,,celula_vazia,,,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
RA-120,2022,4,4,Fase 5 (1º EM),5,15.0,False,2007,Masculino,2019,Escola Pública,5.0,6.2,5.9,8.3,7.5,,7.667,True,3.7,5.2,9.7,4.0,4,-1,-1,Moderada,6.825,6.825,nao_ausente,Ágata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1200,2023,FASE 5,5,Fase 5 (1° EM),5,15.0,False,2007,Feminino,2023,Pública,10.0,4.0,6.4,0.0,5.0,7.5,6.8725,False,4.3,2.3,5.5,4.0,4,0,0,Em fase,5.711166667,5.711166667,nao_ausente,Quartzo,Quartzo,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1200,2024,5N,5,Fase 6 (2° EM),6,16.0,False,2007,Feminino,2023,Pública,5.0,1.5,7.099419478000001,7.917,6.26,7.5,6.27,False,0.0,4.5,0.0,3.0,3,-1,-1,Moderada,5.6415838956,5.6415838956,nao_ausente,Quartzo,Quartzo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1201,2023,FASE 5,5,Fase 5 (1° EM),5,15.0,False,2008,Masculino,2023,Pública,10.0,7.8,9.6,9.2,3.77,8.59375,8.7575,False,8.3,6.5,8.5,4.0,4,0,0,Em fase,8.378008333,8.378008333,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1201,2024,5N,5,Fase 6 (2° EM),6,16.0,False,2008,Masculino,2023,Pública,5.0,9.0,9.523809523666666,8.751,7.51,8.333333333,8.56,False,9.0,8.0,10.0,3.0,3,-1,-1,Moderada,8.376195238033333,8.376195238033333,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1202,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,False,2007,Feminino,2023,Pública,5.0,3.3,7.6,7.1,7.52,7.34375,6.67,False,4.5,3.3,2.0,4.0,4,-1,-1,Moderada,6.202008333,6.202008333,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1203,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,True,2007,Feminino,2023,Pública,5.0,7.2,10.0,9.2,2.52,7.96875,7.8775,False,6.7,5.8,9.2,4.0,4,-1,-1,Moderada,7.487841667,7.487841667,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1203,2024,6L,6,Fase 6 (2° EM),6,17.0,False,2007,Feminino,2023,Privada - Programa de Apadrinhamento,10.0,9.0,9.649122807,9.168,7.51,8.375,8.572,False,8.5,9.0,9.5,5.0,5,0,0,Em fase,8.9495245614,8.9495245614,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1204,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,False,2007,Masculino,2023,Pública,5.0,6.1,8.7,7.5,5.0,7.8125,7.2125,False,5.0,3.7,9.7,4.0,4,-1,-1,Moderada,6.940416667,6.940416667,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1205,2023,FASE 5,5,Fase 8 (Universitários),8,18.0,False,2005,Feminino,2023,Pública,2.5,5.0,9.2,9.2,6.26,7.5,7.085,False,5.2,3.7,6.2,4.0,4,-3,-3,Severa,6.806466667,6.806466667,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1206,2023,FASE 5,5,Fase 7 (3° EM),7,17.0,False,2006,Feminino,2023,Pública,5.0,5.6,8.3,8.8,2.52,7.8125,7.7125,False,4.7,3.7,8.3,4.0,4,-2,-2,Moderada,6.724183333,6.724183333,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1207,2023,FASE 5,5,Fase 5 (1° EM),5,15.0,True,2008,Feminino,2023,Pública,10.0,5.5,9.0,8.8,5.0,7.8125,7.63,False,5.0,4.0,7.5,4.0,4,0,0,Em fase,7.58235,7.58235,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1207,2024,5M,5,Fase 6 (2° EM),6,16.0,False,2008,Feminino,2023,Pública,5.0,5.333333333333333,6.581140350999999,8.334,7.51,7.34375,6.5375,False,4.5,1.5,10.0,4.0,4,-1,-1,Moderada,6.509169736866667,6.509169736866667,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1208,2023,FASE 5,5,Fase 5 (1° EM),5,15.0,False,2008,Masculino,2023,Pública,10.0,6.2,8.8,8.8,2.52,6.875,6.2525,False,5.0,4.8,8.8,4.0,4,0,0,Em fase,7.0651,7.0651,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1209,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,False,2007,Feminino,2023,Pública,5.0,7.4,9.4,7.5,5.0,7.8125,7.7125,False,7.7,5.7,8.8,4.0,4,-1,-1,Moderada,7.43375,7.43375,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-121,2022,4,4,Fase 6 (2º EM),6,16.0,False,2006,Feminino,2021,Escola Pública,5.0,7.2,8.4,7.1,6.3,,7.625,True,5.7,6.8,9.0,4.0,4,-2,-2,Moderada,7.245,7.245,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-121,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,True,2006,Feminino,2021,Pública,5.0,6.0,8.8,6.3,5.0,7.34375,7.4625,False,5.0,5.7,7.3,4.0,4,-1,-1,Moderada,6.811875,6.811875,nao_ausente,Agata,Ágata,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-121,2024,5A,5,Fase 7 (3° EM),7,17.0,False,2006,Feminino,2021,Pública,5.0,8.833333333333334,8.152958153,8.751,6.26,7.25,6.764,False,7.5,9.0,10.0,5.0,5,-2,-2,Moderada,7.476158297266668,7.476158297266668,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1210,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,False,2007,Feminino,2023,Pública,5.0,4.7,9.4,9.6,5.0,7.8125,8.09,False,5.0,2.0,7.0,4.0,4,-1,-1,Moderada,7.171083333,7.171083333,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1210,2024,6L,6,Fase 6 (2° EM),6,17.0,False,2007,Feminino,2023,Pública,10.0,5.5,10.0,9.585,7.51,7.875,8.166,False,5.0,6.5,5.0,5.0,5,0,0,Em fase,8.2302,8.2302,nao_ausente,Topázio,Topázio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1211,2023,FASE 5,5,Fase 6 (2° EM),6,16.0,False,2007,Feminino,2023,Pública,5.0,6.2,9.1,7.1,5.0,7.8125,7.7125,False,6.3,4.5,7.8,4.0,4,-1,-1,Moderada,7.09205,7.09205,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
